scenario_id,controller_id,initial_battery_energy_kwh,final_battery_energy_kwh,battery_energy_inventory_change_kwh,valuation_price_vnd_per_kwh,raw_operating_cost_vnd,terminal_inventory_adjustment_vnd,inventory_adjusted_operating_cost_vnd,valuation_label,inventory_adjusted_rank
cloudy,rule_based,1500.0,300.0,-1200.0,1100.0,437071236.7901661,1320000.0,438391236.7901661,configured_off_peak_replenishment_price,1.0
cloudy,greenmpc_conservative,1500.0,2700.0,1200.0,1100.0,443882218.3199458,-1320000.0,442562218.3199458,configured_off_peak_replenishment_price,2.0
cloudy,deterministic_mpc,1500.0,1265.671710941287,-234.32828905871293,1100.0,445275761.96084046,257761.1179645842,445533523.078805,configured_off_peak_replenishment_price,3.0
combined_stress,rule_based,1500.0,300.0,-1200.0,1100.0,460103417.0062092,1320000.0,461423417.0062092,configured_off_peak_replenishment_price,1.0
combined_stress,greenmpc_conservative,1500.0,2700.0,1200.0,1100.0,467404363.55756295,-1320000.0,466084363.55756295,configured_off_peak_replenishment_price,2.0
combined_stress,deterministic_mpc,1500.0,1261.2840319603067,-238.71596803969328,1100.0,467247325.1124414,262587.5648436626,467509912.6772851,configured_off_peak_replenishment_price,3.0
normal,rule_based,1500.0,300.0,-1200.0,1100.0,423561530.22266614,1320000.0,424881530.22266614,configured_off_peak_replenishment_price,1.0
normal,greenmpc_conservative,1500.0,2700.0,1200.0,1100.0,426549169.9528165,-1320000.0,425229169.9528165,configured_off_peak_replenishment_price,2.0
normal,deterministic_mpc,1500.0,1266.8634398677557,-233.1365601322443,1100.0,433831354.48649615,256450.21614546873,434087804.7026416,configured_off_peak_replenishment_price,3.0
production_shift,rule_based,1500.0,300.0,-1200.0,1100.0,423866473.01899445,1320000.0,425186473.01899445,configured_off_peak_replenishment_price,1.0
production_shift,greenmpc_conservative,1500.0,2700.0,1200.0,1100.0,426898962.8721992,-1320000.0,425578962.8721992,configured_off_peak_replenishment_price,2.0
production_shift,deterministic_mpc,1500.0,1266.8634398677557,-233.1365601322443,1100.0,434162291.38833857,256450.21614546873,434418741.604484,configured_off_peak_replenishment_price,3.0
