scenario_id,controller_id,initial_battery_energy_kwh,final_battery_energy_kwh,battery_energy_inventory_change_kwh,valuation_price_vnd_per_kwh,raw_operating_cost_vnd,terminal_inventory_adjustment_vnd,inventory_adjusted_operating_cost_vnd,valuation_label,inventory_adjusted_rank
cloudy,rule_based,1500.0,300.0,-1200.0,1500.0,437071236.7901661,1800000.0,438871236.7901661,sensitivity_1500,1.0
cloudy,greenmpc_conservative,1500.0,2700.0,1200.0,1500.0,443882218.3199458,-1800000.0,442082218.3199458,sensitivity_1500,2.0
cloudy,deterministic_mpc,1500.0,1265.671710941287,-234.32828905871293,1500.0,445275761.96084046,351492.4335880694,445627254.39442855,sensitivity_1500,3.0
combined_stress,rule_based,1500.0,300.0,-1200.0,1500.0,460103417.0062092,1800000.0,461903417.0062092,sensitivity_1500,1.0
combined_stress,greenmpc_conservative,1500.0,2700.0,1200.0,1500.0,467404363.55756295,-1800000.0,465604363.55756295,sensitivity_1500,2.0
combined_stress,deterministic_mpc,1500.0,1261.2840319603067,-238.71596803969328,1500.0,467247325.1124414,358073.9520595399,467605399.064501,sensitivity_1500,3.0
normal,greenmpc_conservative,1500.0,2700.0,1200.0,1500.0,426549169.9528165,-1800000.0,424749169.9528165,sensitivity_1500,1.0
normal,rule_based,1500.0,300.0,-1200.0,1500.0,423561530.22266614,1800000.0,425361530.22266614,sensitivity_1500,2.0
normal,deterministic_mpc,1500.0,1266.8634398677557,-233.1365601322443,1500.0,433831354.48649615,349704.8401983665,434181059.3266945,sensitivity_1500,3.0
production_shift,greenmpc_conservative,1500.0,2700.0,1200.0,1500.0,426898962.8721992,-1800000.0,425098962.8721992,sensitivity_1500,1.0
production_shift,rule_based,1500.0,300.0,-1200.0,1500.0,423866473.01899445,1800000.0,425666473.01899445,sensitivity_1500,2.0
production_shift,deterministic_mpc,1500.0,1266.8634398677557,-233.1365601322443,1500.0,434162291.38833857,349704.8401983665,434511996.2285369,sensitivity_1500,3.0
cloudy,rule_based,1500.0,300.0,-1200.0,2000.0,437071236.7901661,2400000.0,439471236.7901661,sensitivity_2000,1.0
cloudy,greenmpc_conservative,1500.0,2700.0,1200.0,2000.0,443882218.3199458,-2400000.0,441482218.3199458,sensitivity_2000,2.0
cloudy,deterministic_mpc,1500.0,1265.671710941287,-234.32828905871293,2000.0,445275761.96084046,468656.57811742584,445744418.5389579,sensitivity_2000,3.0
combined_stress,rule_based,1500.0,300.0,-1200.0,2000.0,460103417.0062092,2400000.0,462503417.0062092,sensitivity_2000,1.0
combined_stress,greenmpc_conservative,1500.0,2700.0,1200.0,2000.0,467404363.55756295,-2400000.0,465004363.55756295,sensitivity_2000,2.0
combined_stress,deterministic_mpc,1500.0,1261.2840319603067,-238.71596803969328,2000.0,467247325.1124414,477431.93607938656,467724757.0485208,sensitivity_2000,3.0
normal,greenmpc_conservative,1500.0,2700.0,1200.0,2000.0,426549169.9528165,-2400000.0,424149169.9528165,sensitivity_2000,1.0
normal,rule_based,1500.0,300.0,-1200.0,2000.0,423561530.22266614,2400000.0,425961530.22266614,sensitivity_2000,2.0
normal,deterministic_mpc,1500.0,1266.8634398677557,-233.1365601322443,2000.0,433831354.48649615,466273.1202644886,434297627.6067606,sensitivity_2000,3.0
production_shift,greenmpc_conservative,1500.0,2700.0,1200.0,2000.0,426898962.8721992,-2400000.0,424498962.8721992,sensitivity_2000,1.0
production_shift,rule_based,1500.0,300.0,-1200.0,2000.0,423866473.01899445,2400000.0,426266473.01899445,sensitivity_2000,2.0
production_shift,deterministic_mpc,1500.0,1266.8634398677557,-233.1365601322443,2000.0,434162291.38833857,466273.1202644886,434628564.50860304,sensitivity_2000,3.0
cloudy,rule_based,1500.0,300.0,-1200.0,2500.0,437071236.7901661,3000000.0,440071236.7901661,sensitivity_2500,1.0
cloudy,greenmpc_conservative,1500.0,2700.0,1200.0,2500.0,443882218.3199458,-3000000.0,440882218.3199458,sensitivity_2500,2.0
cloudy,deterministic_mpc,1500.0,1265.671710941287,-234.32828905871293,2500.0,445275761.96084046,585820.7226467823,445861582.68348724,sensitivity_2500,3.0
combined_stress,rule_based,1500.0,300.0,-1200.0,2500.0,460103417.0062092,3000000.0,463103417.0062092,sensitivity_2500,1.0
combined_stress,greenmpc_conservative,1500.0,2700.0,1200.0,2500.0,467404363.55756295,-3000000.0,464404363.55756295,sensitivity_2500,2.0
combined_stress,deterministic_mpc,1500.0,1261.2840319603067,-238.71596803969328,2500.0,467247325.1124414,596789.9200992332,467844115.0325407,sensitivity_2500,3.0
normal,greenmpc_conservative,1500.0,2700.0,1200.0,2500.0,426549169.9528165,-3000000.0,423549169.9528165,sensitivity_2500,1.0
normal,rule_based,1500.0,300.0,-1200.0,2500.0,423561530.22266614,3000000.0,426561530.22266614,sensitivity_2500,2.0
normal,deterministic_mpc,1500.0,1266.8634398677557,-233.1365601322443,2500.0,433831354.48649615,582841.4003306108,434414195.88682675,sensitivity_2500,3.0
production_shift,greenmpc_conservative,1500.0,2700.0,1200.0,2500.0,426898962.8721992,-3000000.0,423898962.8721992,sensitivity_2500,1.0
production_shift,rule_based,1500.0,300.0,-1200.0,2500.0,423866473.01899445,3000000.0,426866473.01899445,sensitivity_2500,2.0
production_shift,deterministic_mpc,1500.0,1266.8634398677557,-233.1365601322443,2500.0,434162291.38833857,582841.4003306108,434745132.78866917,sensitivity_2500,3.0
